time	V(A,N016)	I(L1)
5.413671755135734e-04	9.941173e+01	-5.595855e-02
5.413671755136740e-04	9.941171e+01	-5.595855e-02
5.413681755136734e-04	8.101949e+01	-5.595082e-02
5.413691755136729e-04	5.957932e+01	-5.594480e-02
5.413701755136724e-04	3.684857e+01	-5.594106e-02
5.413711755136719e-04	1.531900e+01	-5.593899e-02
5.413712998053773e-04	1.299469e+01	-5.593881e-02
5.413715483887881e-04	8.949890e+00	-5.593853e-02
5.413716105346390e-04	8.025696e+00	-5.593847e-02
5.413717348263444e-04	6.418915e+00	-5.593838e-02
5.413719834097552e-04	3.546722e+00	-5.593823e-02
5.413719834145639e-04	3.546692e+00	-5.593823e-02
5.413729834145634e-04	1.181580e+00	-5.593806e-02
5.413729834450806e-04	1.181519e+00	-5.593806e-02
5.413729835061151e-04	1.181396e+00	-5.593806e-02
5.413729835213738e-04	1.181396e+00	-5.593806e-02
5.413729835518910e-04	1.181366e+00	-5.593806e-02
5.413729835595203e-04	1.181366e+00	-5.593806e-02
5.413739835595198e-04	1.169556e+00	-5.593789e-02
5.413749835595193e-04	1.162842e+00	-5.593771e-02
5.413759835595187e-04	1.159424e+00	-5.593754e-02
5.413766927990782e-04	1.157532e+00	-5.593742e-02
5.413775478946836e-04	1.155701e+00	-5.593728e-02
5.413784039811180e-04	1.154144e+00	-5.593713e-02
5.413793676548248e-04	1.152710e+00	-5.593696e-02
5.413805730686561e-04	1.151215e+00	-5.593676e-02
5.413816853674994e-04	1.150024e+00	-5.593657e-02
5.413828114190500e-04	1.149017e+00	-5.593637e-02
5.413838886919042e-04	1.148163e+00	-5.593619e-02
5.413850477035929e-04	1.147369e+00	-5.593599e-02
5.413862284149723e-04	1.146667e+00	-5.593579e-02
5.413874991724646e-04	1.145996e+00	-5.593557e-02
5.413888354029173e-04	1.145355e+00	-5.593535e-02
5.413902985434010e-04	1.144745e+00	-5.593510e-02
5.413918957984931e-04	1.144165e+00	-5.593482e-02
5.413936909336552e-04	1.143616e+00	-5.593452e-02
5.413957129148904e-04	1.143066e+00	-5.593418e-02
5.413980417334381e-04	1.142517e+00	-5.593378e-02
5.414007347185751e-04	1.141998e+00	-5.593332e-02
5.414039026656221e-04	1.141510e+00	-5.593278e-02
5.414076427148785e-04	1.141022e+00	-5.593215e-02
5.414121168808954e-04	1.140594e+00	-5.593139e-02
5.414174899382972e-04	1.140137e+00	-5.593047e-02
5.414240147386395e-04	1.139801e+00	-5.592936e-02
5.414319760832162e-04	1.139496e+00	-5.592801e-02
5.414417878330038e-04	1.139282e+00	-5.592635e-02
5.414539538989988e-04	1.139130e+00	-5.592428e-02
5.414691841483070e-04	1.138977e+00	-5.592169e-02
5.414884009315689e-04	1.138916e+00	-5.591843e-02
5.415128841690792e-04	1.138855e+00	-5.591427e-02
5.415443682961069e-04	1.138794e+00	-5.590892e-02
5.415861881343104e-04	1.138733e+00	-5.590182e-02
5.416432551233058e-04	1.138672e+00	-5.589214e-02
5.417068466954840e-04	1.138580e+00	-5.588134e-02
5.417640803669424e-04	1.138489e+00	-5.587162e-02
5.418346209629700e-04	1.138397e+00	-5.585966e-02
5.418992295876460e-04	1.138306e+00	-5.584869e-02
5.419703174748755e-04	1.138184e+00	-5.583663e-02
5.420360403247636e-04	1.138092e+00	-5.582548e-02
5.421065382856145e-04	1.137970e+00	-5.581352e-02
5.421734334437878e-04	1.137878e+00	-5.580217e-02
5.422436966824561e-04	1.137787e+00	-5.579026e-02
5.423112604661245e-04	1.137695e+00	-5.577880e-02
5.423812006455850e-04	1.137604e+00	-5.576694e-02
5.424491615790873e-04	1.137512e+00	-5.575542e-02
5.425188795799285e-04	1.137360e+00	-5.574360e-02
5.425870816575702e-04	1.137268e+00	-5.573205e-02
5.426566639356936e-04	1.137177e+00	-5.572025e-02
5.427249605064917e-04	1.137085e+00	-5.570868e-02
5.427973637388873e-04	1.136993e+00	-5.569642e-02
5.428754845550957e-04	1.136871e+00	-5.568319e-02
5.429724759245282e-04	1.136749e+00	-5.566676e-02
5.430840298499030e-04	1.136566e+00	-5.564787e-02
5.432304006789852e-04	1.136353e+00	-5.562309e-02
5.434153775137028e-04	1.136108e+00	-5.559179e-02
5.435902364099229e-04	1.135834e+00	-5.556221e-02
5.437650840271237e-04	1.135590e+00	-5.553263e-02
5.439302318297826e-04	1.135376e+00	-5.550471e-02
5.441007221248760e-04	1.135101e+00	-5.547590e-02
5.442646155276107e-04	1.134857e+00	-5.544820e-02
5.444309351831204e-04	1.134644e+00	-5.542011e-02
5.445869615365966e-04	1.134430e+00	-5.539376e-02
5.447240837084151e-04	1.134216e+00	-5.537061e-02
5.448542687393094e-04	1.134033e+00	-5.534864e-02
5.449726354753021e-04	1.133881e+00	-5.532867e-02
5.450920461280429e-04	1.133698e+00	-5.530852e-02
5.452261494058620e-04	1.133484e+00	-5.528590e-02
5.453651642208825e-04	1.133301e+00	-5.526247e-02
5.455396518414188e-04	1.133057e+00	-5.523305e-02
5.457164734145592e-04	1.132782e+00	-5.520326e-02
5.458925390056865e-04	1.132538e+00	-5.517359e-02
5.461172561517236e-04	1.132233e+00	-5.513575e-02
5.463463386653350e-04	1.131897e+00	-5.509720e-02
5.466822856246834e-04	1.131409e+00	-5.504068e-02
5.470352564376120e-04	1.130920e+00	-5.498134e-02
5.476136184696494e-04	1.130096e+00	-5.488420e-02
5.483092721902186e-04	1.129089e+00	-5.476751e-02
5.517811146006496e-04	1.124146e+00	-5.418792e-02
5.831357086298165e-04	1.080505e+00	-4.915922e-02
6.189695303774369e-04	1.032501e+00	-4.378391e-02
6.665826080511049e-04	9.704285e-01	-3.697919e-02
6.666739077880943e-04	9.702759e-01	-3.696667e-02
6.668565072620730e-04	9.700623e-01	-3.694221e-02
6.691480618719534e-04	9.671936e-01	-3.663614e-02
6.717165360878505e-04	9.639587e-01	-3.629510e-02
6.768534845196413e-04	9.575500e-01	-3.561937e-02
6.871273813832263e-04	9.448853e-01	-3.429287e-02
7.076751751103963e-04	9.200745e-01	-3.173694e-02
7.203795910317956e-04	9.047920e-01	-3.016758e-02
7.330840069531949e-04	8.897238e-01	-2.863906e-02
7.457884228745942e-04	8.748698e-01	-2.715137e-02
7.584928387959935e-04	8.602301e-01	-2.570451e-02
7.711972547173927e-04	8.458046e-01	-2.429849e-02
7.839016706387920e-04	8.315934e-01	-2.293330e-02
7.966060865601914e-04	8.175964e-01	-2.160895e-02
7.966161196625958e-04	8.175964e-01	-2.160792e-02
7.966191196625942e-04	8.175964e-01	-2.160761e-02
7.966231196625956e-04	8.175964e-01	-2.160719e-02
7.966241196625951e-04	8.175964e-01	-2.160709e-02
7.966261196625940e-04	8.175964e-01	-2.160688e-02
7.966276196625932e-04	8.175964e-01	-2.160673e-02
7.966284166784320e-04	8.175659e-01	-2.160664e-02
7.966294166784314e-04	8.175659e-01	-2.160654e-02
7.966304166784309e-04	8.175659e-01	-2.160644e-02
7.966314166784304e-04	8.175659e-01	-2.160634e-02
7.966324166784298e-04	8.175659e-01	-2.160623e-02
7.966334166784293e-04	8.175659e-01	-2.160613e-02
7.966344166784288e-04	8.175659e-01	-2.160602e-02
7.966354166784283e-04	8.175659e-01	-2.160592e-02
7.966364166784277e-04	8.175659e-01	-2.160582e-02
7.966374166784272e-04	8.175659e-01	-2.160572e-02
7.966389958652988e-04	8.175659e-01	-2.160555e-02
7.966416649737781e-04	8.175659e-01	-2.160528e-02
7.966430222862107e-04	8.175659e-01	-2.160514e-02
7.966438339405309e-04	8.175659e-01	-2.160505e-02
7.966443047075604e-04	8.175659e-01	-2.160500e-02
