time	V(vds)	V(vgs)	Id(M1)
6.443003669193564e-006	5.708364e+000	5.688443e-001	6.089084e-005
6.538348485884059e-006	5.708153e+000	5.550205e-001	3.682535e-005
6.677761145005345e-006	5.707801e+000	5.424472e-001	2.281416e-005
6.875774449658569e-006	5.707276e+000	5.309848e-001	1.459014e-005
7.204010918436496e-006	5.706370e+000	5.186474e-001	8.928337e-006
7.689416653418402e-006	5.704951e+000	5.066615e-001	5.336710e-006
8.460913607858066e-006	5.702509e+000	4.939785e-001	2.896410e-006
9.460913607858067e-006	5.699021e+000	4.823592e-001	1.374787e-006
1.046091360785807e-005	5.695122e+000	4.735253e-001	5.266211e-007
1.146091360785807e-005	5.690734e+000	4.662201e-001	-4.753656e-008
1.246091360785807e-005	5.685781e+000	4.597163e-001	-5.086813e-007
1.346091360785807e-005	5.680161e+000	4.536146e-001	-9.274081e-007
1.446091360785807e-005	5.673730e+000	4.476361e-001	-1.346693e-006
1.546091360785807e-005	5.666545e+000	4.416142e-001	-1.791247e-006
1.566700000000000e-005	5.664910e+000	4.403400e-001	-1.893601e-006
1.607917278428387e-005	5.661430e+000	4.377346e-001	-4.992183e-007
1.608017278428387e-005	5.661421e+000	4.377281e-001	-1.356252e-006
1.608217278428386e-005	5.661404e+000	4.377149e-001	-2.608186e-006
1.608617278428386e-005	5.661368e+000	4.376889e-001	-1.942553e-006
1.609264577352972e-005	5.661311e+000	4.376472e-001	-2.252431e-006
1.610559175202144e-005	5.661196e+000	4.375635e-001	-2.057958e-006
1.613148370900488e-005	5.660966e+000	4.373958e-001	-2.172206e-006
1.618326762297176e-005	5.660502e+000	4.370590e-001	-2.151370e-006
1.628683545090553e-005	5.659558e+000	4.363800e-001	-2.233300e-006
1.645986434413247e-005	5.657959e+000	4.352367e-001	-3.964174e-006
1.646086434413247e-005	5.657949e+000	4.352300e-001	-3.166377e-006
1.646286434413247e-005	5.657931e+000	4.352166e-001	-1.936830e-006
1.646686434413246e-005	5.657893e+000	4.351898e-001	-2.521247e-006
1.647486434413245e-005	5.657817e+000	4.351363e-001	-2.242763e-006
1.649086434413243e-005	5.657666e+000	4.350291e-001	-2.392085e-006
1.652286434413240e-005	5.657361e+000	4.348140e-001	-2.342028e-006
1.658686434413232e-005	5.656747e+000	4.343825e-001	-1.007089e-006
1.658786434413232e-005	5.656737e+000	4.343758e-001	-1.682153e-006
1.658986434413232e-005	5.656718e+000	4.343623e-001	-2.744394e-006
1.659386434413231e-005	5.656679e+000	4.343352e-001	-2.265031e-006
1.660096671994239e-005	5.656610e+000	4.342870e-001	-2.503561e-006
1.661517147156256e-005	5.656473e+000	4.341906e-001	-2.386204e-006
1.663859049675967e-005	5.656245e+000	4.340313e-001	-1.265634e-006
1.663959049675967e-005	5.656235e+000	4.340246e-001	-1.814253e-006
1.664159049675967e-005	5.656216e+000	4.340110e-001	-2.729725e-006
1.664559049675967e-005	5.656177e+000	4.339837e-001	-2.330967e-006
1.665211005572458e-005	5.656113e+000	4.339392e-001	-2.027834e-006
1.665396088207017e-005	5.656095e+000	4.339266e-001	-2.151235e-006
1.665766253476134e-005	5.656059e+000	4.339014e-001	-2.199643e-006
1.665959669461765e-005	5.656040e+000	4.338882e-001	-2.183750e-006
1.666346501433026e-005	5.656002e+000	4.338618e-001	-1.753720e-006
1.666446501433026e-005	5.655992e+000	4.338550e-001	-3.159684e-006
1.666500000000000e-005	5.655987e+000	4.338514e-001	-3.163356e-006
1.666593002866052e-005	5.655978e+000	4.338450e-001	-2.322459e-006
1.666700000000000e-005	5.655967e+000	4.338353e-001	1.717799e-005
1.666700234091884e-005	5.655967e+000	4.338364e-001	1.478532e-005
1.666700702275650e-005	5.655967e+000	4.338384e-001	1.081056e-005
1.666701638643183e-005	5.655967e+000	4.338432e-001	5.297461e-006
1.666703297583033e-005	5.655967e+000	4.338559e-001	-9.955230e-007
1.666705007278770e-005	5.655967e+000	4.338767e-001	-6.003930e-006
1.666708426670242e-005	5.655967e+000	4.339460e-001	-1.817255e-005
1.666715265453187e-005	5.655968e+000	4.341816e-001	-5.851886e-005
1.666726801850283e-005	5.655972e+000	4.348449e-001	-1.725339e-004
1.666741930344736e-005	5.655981e+000	4.362489e-001	-4.096465e-004
1.666761769270876e-005	5.655999e+000	4.389305e-001	-8.503351e-004
1.666775847760510e-005	5.656017e+000	4.415818e-001	-1.267880e-003
1.666800000000000e-005	5.656057e+000	4.471521e-001	-2.119053e-003
1.666802415223949e-005	5.656062e+000	4.478045e-001	-2.214677e-003
1.666807245671847e-005	5.656071e+000	4.490893e-001	-2.398691e-003
1.666816906567643e-005	5.656089e+000	4.515492e-001	-2.727839e-003
1.666836228359235e-005	5.656122e+000	4.560407e-001	-3.240983e-003
1.666874871942418e-005	5.656179e+000	4.639295e-001	-3.915869e-003
1.666914955554589e-005	5.656230e+000	4.710313e-001	-4.287818e-003
1.666955461411173e-005	5.656274e+000	4.774053e-001	-4.433008e-003
1.666998034056257e-005	5.656317e+000	4.836648e-001	-4.470550e-003
1.667055495125752e-005	5.656372e+000	4.918746e-001	-4.467173e-003
1.667170417264743e-005	5.656488e+000	5.093716e-001	-4.627640e-003
1.667253520568307e-005	5.656607e+000	5.269988e-001	-5.430856e-003
1.667351841914822e-005	5.656826e+000	5.584197e-001	-7.629319e-003
1.667426123148883e-005	5.657056e+000	5.907198e-001	-9.930902e-003
1.667510431175449e-005	5.657375e+000	6.355816e-001	-1.266465e-002
1.667614976529586e-005	5.657828e+000	6.998451e-001	-1.561081e-002
1.667804899061245e-005	5.658726e+000	8.293203e-001	-1.989578e-002
1.667911246297501e-005	5.659250e+000	9.063828e-001	-2.165203e-002
1.667981889350664e-005	5.659596e+000	9.586425e-001	-2.233393e-002
1.668049217208752e-005	5.659914e+000	1.007806e+000	-2.262023e-002
1.668117079534325e-005	5.660225e+000	1.056836e+000	-2.273236e-002
1.668190242834507e-005	5.660551e+000	1.109362e+000	-2.277400e-002
1.668264256838596e-005	5.660869e+000	1.161869e+000	-2.272110e-002
1.668351502872909e-005	5.661228e+000	1.222674e+000	-2.253650e-002
1.668438622140584e-005	5.661569e+000	1.282212e+000	-2.227051e-002
1.668531057168965e-005	5.661912e+000	1.344174e+000	-2.195587e-002
1.668634670773104e-005	5.662274e+000	1.411972e+000	-2.159748e-002
1.668841897981382e-005	5.662930e+000	1.542763e+000	-2.088758e-002
1.669175990740908e-005	5.663846e+000	1.742826e+000	-1.978188e-002
1.669607974823298e-005	5.664791e+000	1.981745e+000	-1.844288e-002
1.670274083387983e-005	5.665845e+000	2.313273e+000	-1.656342e-002
1.671016233093579e-005	5.666578e+000	2.637159e+000	-1.470755e-002
1.671908141817415e-005	5.666977e+000	2.969714e+000	-1.278054e-002
1.672886688027272e-005	5.666977e+000	3.273945e+000	-1.099468e-002
1.674151690723390e-005	5.666394e+000	3.589429e+000	-8.438986e-003
1.675867449356659e-005	5.663851e+000	3.930104e+000	3.121951e-003
1.676798858513197e-005	5.659138e+000	4.077591e+000	2.715484e-002
1.677425366665961e-005	5.650115e+000	4.155860e+000	6.306870e-002
1.678126877699356e-005	5.624170e+000	4.222125e+000	1.152842e-001
1.678930156474214e-005	5.558920e+000	4.267484e+000	1.582804e-001
1.679188578016292e-005	5.505893e+000	4.260157e+000	1.433919e-001
1.679319762026951e-005	5.449721e+000	4.237345e+000	1.102264e-001
1.679389913363672e-005	5.404815e+000	4.215516e+000	8.536033e-002
1.679482853873855e-005	5.339621e+000	4.182877e+000	5.973595e-002
1.679514105671148e-005	5.321618e+000	4.174504e+000	5.539541e-002
1.679565169285165e-005	5.299643e+000	4.165800e+000	5.218104e-002
